Entree,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Category,Restaurant
BK VEGGIE Burger,390,150,15,2.5,0,5,1060,42,7,8,22,Veggie,burgerking
"Garden Grilled Chicken Salad w/ Crispy Chicken, no dressing",450,220,24,7,0,85,1070,30,5,6,29,side,burgerking
"Garden Grilled Chicken Salad w/ Grilled Chicken, no dressing",320,120,14,6,0,115,650,16,2,4,36,side,burgerking
Onion Rings Large,500,230,25,5,0,0,1310,64,5,7,5,side,burgerking
Onion Rings Medium,410,190,21,4,0,0,1080,53,4,5,4,side,burgerking
Onion Rings Small,320,150,16,3,0,0,840,41,3,4,3,side,burgerking
French Fries Large,500,150,22,3.5,0,0,710,72,5,0,5,side,burgerking
French Fries Medium,410,120,18,3,0,0,570,58,4,0,4,side,burgerking
French Fries Small,340,100,15,2.5,0,0,480,49,3,0,4,side,burgerking
Fully Loaded CROISSAN'WICH®,570,330,37,15,0.5,195,1650,32,1,5,27,breakfast,burgerking
Egg-normous Burrito,910,490,55,16,0.5,320,2020,73,6,8,33,breakfast,burgerking
King CROISSAN'WICH® w/ Ham & Sausage,530,310,34,14,0.5,185,1280,31,1,5,23,breakfast,burgerking
King CROISSAN'WICH® w/ Sausage and Bacon,570,340,38,16,0.5,185,1330,31,1,5,23,breakfast,burgerking
"Sausage, Egg, & Cheese Biscuit",570,330,37,19,1,210,1510,34,1,4,20,breakfast,burgerking
"Bacon, Egg & Cheese Biscuit",470,250,28,17,1,185,1420,33,1,4,17,breakfast,burgerking
"Ham, Egg, & Cheese Biscuit",420,200,22,15,1,185,1410,33,1,5,16,breakfast,burgerking
Bk Ultimate Breakfast Platter,1450,750,84,30,1,505,2920,134,5,41,40,breakfast,burgerking
Pancake Platter w/ Sausage & 1 oz Breakfast Syrup,670,300,34,9,0,125,1010,78,1,36,14,breakfast,burgerking
